,community_board,year,rent
563,Queens Community Board 8,2019,1568.8888
564,Manhattan Community Board 6,2018,2535.904
565,Queens Community Board 5,2018,1587.3435
566,Queens Community Board 10,2018,1627.935
567,Brooklyn Community Board 18,2018,1443.1366
568,Queens Community Board 8,2018,1498.683
569,Brooklyn Community Board 7,2018,1603.3665
570,Manhattan Community Board 11,2018,1039.3574
571,Bronx Community Board 3,2018,1007.3115
572,Manhattan Community Board 2,2017,2696.3896
573,Staten Island Community Board 3,2017,1276.8934
574,Queens Community Board 14,2017,1218.1106
575,Brooklyn Community Board 11,2017,1373.7762
576,Bronx Community Board 9,2017,1175.6564
577,Manhattan Community Board 11,2017,912.2222
578,Bronx Community Board 7,2017,1230.0848
579,Manhattan Community Board 5,2016,2415.0945
580,Queens Community Board 13,2016,1497.2253
581,Queens Community Board 8,2016,1596.0045
582,Brooklyn Community Board 10,2016,1510.5438
583,Bronx Community Board 10,2016,1266.3707
584,Bronx Community Board 12,2016,1237.5139
585,Bronx Community Board 11,2016,1286.3485
586,Brooklyn Community Board 16,2016,1000.0
587,Bronx Community Board 2,2016,955.6049
588,Bronx Community Board 3,2016,968.9234
589,Queens Community Board 11,2015,1763.5242
590,Bronx Community Board 12,2015,1235.14
591,Bronx Community Board 11,2015,1251.9675
592,Bronx Community Board 2,2015,866.0564
593,Brooklyn Community Board 1,2014,1637.6965
594,Queens Community Board 1,2014,1545.5902
595,Brooklyn Community Board 15,2014,1256.9153
596,Manhattan Community Board 9,2014,1260.285
597,Bronx Community Board 3,2014,900.84546
598,Manhattan Community Board 2,2013,2276.2107
599,Brooklyn Community Board 18,2013,1325.8927
600,Brooklyn Community Board 15,2013,1233.7062
601,Brooklyn Community Board 8,2013,1136.9672
602,Bronx Community Board 2,2013,827.4026
603,Manhattan Community Board 1,2012,2314.4646
604,Brooklyn Community Board 9,2012,1179.2197
605,Manhattan Community Board 12,2012,1105.1569
606,Bronx Community Board 9,2012,1082.0122
607,Bronx Community Board 6,2012,867.92426
608,Manhattan Community Board 4,2011,2073.23
609,Queens Community Board 11,2011,1722.775
610,Queens Community Board 2,2011,1434.8591
611,Queens Community Board 7,2011,1417.1594
612,Brooklyn Community Board 1,2011,1336.9207
613,Brooklyn Community Board 11,2011,1207.1224
614,Brooklyn Community Board 7,2011,1233.0822
615,Manhattan Community Board 3,2011,968.7659
616,Queens Community Board 11,2010,1497.5334
617,Brooklyn Community Board 18,2010,1236.618
618,Bronx Community Board 8,2010,1236.618
619,Queens Community Board 12,2010,1206.2789
620,Brooklyn Community Board 17,2010,1173.5128
621,Brooklyn Community Board 5,2010,1144.3875
622,Manhattan Community Board 6,2009,2282.1418
623,Staten Island Community Board 3,2009,1233.0231
